DateTime,AddedIPs,RemovedIPs
1582199795,1,0
1582205795,1,1
1582207714,1,0
1582209615,0,1
1582211541,1,0
1582213468,1,0
1582215399,1,1
1582217305,0,2
1582219232,1,0
1582221138,1,1
1582223090,0,1
1582224988,1,1
1582226936,0,1
1582234825,2,0
1582236783,1,0
1582238681,1,1
1582242515,1,1
1582248274,1,0
1582252093,0,2
1582260044,1,0
1582261955,0,1
1582275375,1,0
1582283305,1,0
1582287163,0,1
1582291074,1,0
1582292932,0,2
1582298673,0,2
1582300572,0,1
1582302515,1,0
1582304635,0,1
1582308523,1,1
1582312359,0,1
1582314259,1,0
1582318126,1,0
1582320990,0,2
1582322924,0,1
1582324841,0,1
1582328657,0,1
1582334416,0,1
1582342096,2,0
1582346216,0,1
1582361553,0,1
1582369504,0,1
1582373312,1,0
1582379072,0,1
1582384825,2,0
1582390586,0,1
1582392495,1,0
1582395381,1,1
1582397296,1,0
1582401136,0,1
1582403054,0,1
1582404988,1,0
1582428496,0,2
1582438354,1,0
1582444136,1,0
1582447944,1,0
1582451772,1,0
1582460676,1,1
1582464493,1,0
1582468591,1,0
1582470513,0,1
1582472428,0,1
1582478179,0,1
1582480116,1,0
1582482014,0,1
1582483956,0,1
1582487771,2,0
1582491791,0,1
1582501451,2,0
1582511069,1,0
1582515143,1,0
1582524749,1,1
1582530523,0,1
1582534337,1,1
1582536271,1,0
1582538194,0,1
1582548015,1,1
1582549954,2,0
1582552165,0,1
1582554050,0,1
1582555951,2,0
1582559823,1,0
1582563765,1,0
1582565796,0,1
1582567707,1,0
1582569659,1,0
1582571560,2,0
1582573470,1,2
1582575376,1,0
1582579210,1,0
1582581163,1,0
1582583068,1,0
1582587075,1,2
1582588956,1,0
1582596748,1,0
1582598651,1,1
1582600573,1,1
1582606334,1,0
1582612103,0,1
1582620017,0,1
1582623883,0,1
1582629886,1,0
1582633690,0,1
1582635679,1,1
1582641387,0,1
1582643314,0,1
1582647141,1,1
1582649065,0,1
1582654827,0,1
1582656733,1,1
1582658659,1,1
1582660584,0,1
1582664487,1,1
1582666352,2,0
1582668311,0,1
1582670176,0,1
1582674166,0,2
1582676176,1,0
1582678108,1,0
1582680015,1,0
1582681930,0,1
1582683867,1,1
1582687709,0,1
1582689799,1,0
1582691785,0,1
1582697533,2,0
1582705228,1,0
1582709052,1,0
1582710985,2,0
1582717698,1,0
1582721554,0,1
1582723469,1,0
1582733294,1,1
1582735235,3,0
1582737234,1,0
1582739074,1,0
1582740978,1,0
1582742901,0,1
1582744827,0,1
1582750588,1,1
1582752493,1,2
1582760416,1,0
1582762400,1,1
1582766210,0,2
1582770018,0,1
1582775776,0,1
1582783693,0,1
1582785611,1,1
1582789456,1,0
1582791392,0,1
1582795213,0,1
1582797155,1,2
1582804949,0,1
1582808908,1,1
1582812750,1,0
1582820428,0,2
1582822338,0,2
1582824261,1,2
1582828101,0,1
1582837934,0,2
1582843718,2,0
1582845667,0,1
1582849452,0,1
1582855371,1,0
1582857374,1,0
1582861303,1,0
1582865055,1,0
1582870823,0,1
1582876591,0,1
1582880679,1,0
1582882575,2,1
1582884520,1,0
1582886420,1,0
1582890281,1,0
1582894099,0,1
1582896026,1,0
1582897935,0,1
1582903692,2,0
1582910430,0,1
1582914253,1,0
1582916190,1,0
1582927012,2,0
1582931801,0,2
1582935630,1,0
1582937540,1,0
1582941400,0,1
1582943297,0,1
1582947376,1,1
1582951219,1,1
1582958908,1,0
1582966589,1,6
1582968495,0,1
1582970584,1,2
1582972577,1,1
1582974515,1,0
1582976416,0,1
1582978359,1,0
1582982176,2,1
1582984115,2,0
1582989855,1,1
1582991790,0,1
1582997821,1,0
1582999721,1,1
1583001616,3,1
1583007375,1,0
1583011225,1,0
1583015060,1,2
1583016984,1,0
1583018892,1,0
1583023082,0,1
1583024942,0,1
1583030672,2,0
1583032595,0,1
1583034501,1,0
1583036428,1,1
1583040255,1,0
1583046982,0,1
1583052990,2,1
1583056985,1,1
1583058996,0,1
1583060926,0,1
1583062823,2,0
1583065055,0,1
1583068838,0,2
1583070751,1,2
1583076502,1,1
1583078694,1,0
1583080594,1,0
1583082506,1,0
1583084446,0,2
1583086359,1,0
1583088262,0,3
1583094036,2,1
1583097878,1,1
1583101716,1,1
1583103844,0,2
1583105842,1,0
1583113475,1,0
1583115402,0,1
1583117338,1,1
1583121151,0,1
1583123126,0,1
1583125514,0,1
1583129303,1,0
1583138902,0,2
1583142752,1,1
1583144668,1,0
1583148562,1,0
1583158592,1,1
1583160508,1,0
1583162507,0,1
1583164342,0,1
1583166281,1,1
1583168180,1,1
1583170097,2,0
1583172295,0,1
1583174201,2,0
1583176152,1,0
1583181891,1,2
1583183831,0,1
1583185701,1,0
1583187628,0,1
1583191508,0,1
1583199441,0,1
1583203222,1,0
1583205160,1,1
1583214739,1,0
1583216665,0,1
1583218608,1,0
1583226509,1,0
1583228428,2,1
1583230341,0,1
1583236098,1,1
1583238040,2,0
1583243781,1,0
1583245697,0,2
1583247874,1,0
1583251722,1,1
1583253665,1,0
1583255543,0,2
1583259381,1,1
1583261320,0,2
1583263233,1,0
1583267057,1,1
1583270894,1,1
1583272981,1,0
1583275008,2,0
1583276908,1,0
1583288417,0,1
1583292267,0,1
1583301906,0,1
1583303785,0,1
1583311478,0,1
1583313427,0,2
1583319375,1,0
1583321315,0,1
1583324216,0,1
1583328026,2,0
1583329935,0,1
1583333776,0,1
1583335696,1,0
1583337828,2,1
1583339775,1,0
1583341712,1,1
1583343639,1,0
1583345791,0,1
1583347707,2,0
1583349662,0,1
1583351567,3,0
1583353463,1,1
1583355383,1,0
1583357301,0,1
1583359548,0,1
1583361374,0,2
1583363556,2,1
1583367392,1,0
1583371218,1,0
1583376985,1,0
1583378900,2,0
1583406201,0,1
1583414183,1,2
1583416339,1,0
1583418258,2,0
1583422142,0,1
1583424298,0,2
1583426179,0,1
1583428102,1,1
1583430017,1,1
1583431969,1,0
1583433857,2,0
1583435791,0,2
1583437714,0,1
1583439617,0,3
1583441532,1,1
1583449538,2,1
1583453308,2,0
1583455225,1,1
1583457140,2,1
1583462898,1,1
1583464844,1,2
1583470574,1,0
1583478492,1,0
1583488103,1,0
1583491931,1,0
1583500618,1,1
1583502507,0,1
1583504426,0,1
1583506329,1,1
1583508267,2,0
1583514199,1,1
1583516175,2,1
1583518103,0,1
1583520027,2,2
1583523856,1,0
1583527699,0,1
1583529612,1,0
1583535371,0,2
1583539461,0,2
1583541380,0,1
1583543305,0,2
1583545221,2,0
1583547140,1,0
1583549061,0,1
1583550979,2,1
1583556759,0,1
1583565431,0,1
1583567300,2,0
1583574972,0,1
1583580050,0,1
1583583883,1,0
1583585774,0,1
